site,date,AOD
location_234568,2025-01-23,-166.2116
location_234568,2025-01-24,-142.57002
location_234568,2025-01-25,0.1817389
location_234568,2025-01-26,0.28136867
location_234568,2025-01-27,0.33120635
location_234568,2025-01-28,0.3191941
location_234568,2025-01-29,0.4511924
location_234568,2025-01-30,0.36451524
location_234568,2025-01-31,0.24791321
location_234568,2025-02-01,0.3358132
location_234568,2025-02-02,0.2726156
location_234568,2025-02-03,0.26062384
location_234568,2025-02-04,0.6829933
location_234568,2025-02-05,0.5699886
location_234568,2025-02-06,0.32043186
location_234568,2025-02-07,0.26734364
location_234568,2025-02-08,0.31481656
location_234568,2025-02-09,0.29712462
location_234568,2025-02-10,0.4173884
location_234568,2025-02-11,0.3845651
location_234568,2025-02-12,0.33991268
location_234568,2025-02-13,0.35029373
location_234568,2025-02-14,0.34077674
location_234568,2025-02-15,0.6015599
location_234568,2025-02-16,0.4671836
location_234568,2025-02-17,0.4355157
location_234568,2025-02-18,-999.0
location_234568,2025-02-19,0.53382623
location_234568,2025-02-20,0.74205565
location_234568,2025-02-21,0.5651497
location_234568,2025-02-22,0.5486121
location_234568,2025-02-23,0.5157002
location_234568,2025-02-24,0.6106971
location_234568,2025-02-25,0.55531937
location_234568,2025-02-26,-165.6404
location_234568,2025-02-27,-832.40625
location_234568,2025-02-28,-999.0
location_234568,2025-03-01,-665.4423
location_234568,2025-03-02,0.5816898
location_234568,2025-03-03,0.61299056
location_234568,2025-03-04,0.8721974
location_234568,2025-03-05,0.7839152
location_234568,2025-03-06,0.6695369
location_234568,2025-03-07,0.674483
location_234568,2025-03-08,0.75215626
location_234568,2025-03-09,0.72948116
location_234568,2025-03-10,0.624098
location_234568,2025-03-11,0.6212509
location_234568,2025-03-12,0.63189715
location_234568,2025-03-13,0.8126748
location_234568,2025-03-14,0.54078275
location_234568,2025-03-15,0.62684387
location_234568,2025-03-16,0.70209
location_234568,2025-03-17,1.0054561
location_234568,2025-03-18,0.6377215
location_234568,2025-03-19,0.7004492
location_234568,2025-03-20,-665.66327
location_234568,2025-03-21,0.7985473
location_234568,2025-03-22,-665.7349
location_234568,2025-03-23,-165.99773
location_234568,2025-03-24,-166.1395
location_234568,2025-03-25,0.32984844
location_234568,2025-03-26,-166.05177
location_234568,2025-03-27,-199.37883
location_234568,2025-03-28,-165.92555
location_234568,2025-03-29,-165.7635
location_234568,2025-03-30,-165.72945
location_234568,2025-03-31,-165.73068
location_234568,2025-04-01,-165.70134
location_234568,2025-04-02,-832.1569
location_234568,2025-04-03,-165.81587
location_234568,2025-04-04,-165.63292
location_234568,2025-04-05,-165.67738
location_234568,2025-04-06,-165.66252
location_234568,2025-04-07,-165.74026
location_234568,2025-04-08,-165.7959
location_234568,2025-04-09,-165.69514
location_234568,2025-04-10,-999.0
location_234568,2025-04-11,-165.74043
location_234568,2025-04-12,-165.59744
location_234568,2025-04-13,-332.21475
location_234568,2025-04-14,-332.35983
location_234568,2025-04-15,-332.2794
location_234568,2025-04-16,-332.37564
location_234568,2025-04-17,-332.17038
location_234568,2025-04-18,-332.3491
location_234568,2025-04-19,-332.18567
location_234568,2025-04-20,-332.2914
location_234568,2025-04-21,-331.95148
location_234568,2025-04-22,-332.05032
location_234568,2025-04-23,-331.87372
location_234568,2025-04-24,-332.18698
location_234568,2025-04-25,-332.24323
location_234568,2025-04-26,-332.17975
location_234568,2025-04-27,-999.0
location_234568,2025-04-28,-332.51273
location_234568,2025-04-29,-332.36166
location_234568,2025-04-30,-498.9729
location_234568,2025-05-01,-284.6785
location_234568,2025-05-02,-713.0502
location_234568,2025-05-03,-284.70853
location_234568,2025-05-04,-284.59012
location_234568,2025-05-05,-999.0
location_234568,2025-05-06,-570.31476
location_234568,2025-05-07,-856.08655
location_234568,2025-05-08,-999.0
location_234568,2025-05-09,-713.0844
location_234568,2025-05-10,-999.0
location_234568,2025-05-11,-999.0
location_234568,2025-05-12,-570.23676
location_234568,2025-05-13,-570.1203
location_234568,2025-05-14,-427.1975
location_234568,2025-05-15,-712.96674
location_234568,2025-05-16,-712.93427
location_234568,2025-05-17,-999.0
location_234568,2025-05-18,-570.2606
location_234568,2025-05-19,-713.0819
location_234568,2025-05-20,-713.1426
location_234568,2025-05-21,-856.00165
location_234568,2025-05-22,-856.0687
location_234568,2025-05-23,-999.0
location_234568,2025-05-24,-856.0724
location_234568,2025-05-25,-999.0
location_234568,2025-05-26,-999.0
location_234568,2025-05-27,-999.0
location_234568,2025-05-28,-999.0
location_234568,2025-05-29,-999.0
location_234568,2025-05-30,-999.0
location_234568,2025-05-31,-999.0
location_234568,2025-06-01,-999.0
location_234568,2025-06-02,-999.0
location_234568,2025-06-03,-999.0
location_234568,2025-06-04,-999.0
location_234568,2025-06-05,-999.0
location_234568,2025-06-06,-999.0
location_234568,2025-06-07,-999.0
location_234568,2025-06-08,-999.0
location_234568,2025-06-09,-999.0
location_234568,2025-06-10,-999.0
location_234568,2025-06-11,-999.0
location_234568,2025-06-12,-999.0
location_234568,2025-06-13,-999.0
location_234568,2025-06-14,-999.0
location_234568,2025-06-15,-999.0
location_234568,2025-06-16,-999.0
location_234568,2025-06-17,-999.0
location_234568,2025-06-18,-999.0
location_278671,2025-01-18,0.22360517
location_278671,2025-01-19,0.16686158
location_278671,2025-01-20,0.25700033
location_278671,2025-01-21,0.36844203
location_278671,2025-01-22,0.36817437
location_278671,2025-01-23,0.50396705
location_278671,2025-01-24,0.19170167
location_278671,2025-01-25,0.20343094
location_278671,2025-01-26,0.22099152
location_278671,2025-01-27,0.25240672
location_278671,2025-01-28,0.25419468
location_278671,2025-01-29,-427.94876
location_278671,2025-01-30,0.3343098
location_278671,2025-01-31,0.257779
location_278671,2025-02-01,0.27207097
location_278671,2025-02-02,0.22302923
location_278671,2025-02-03,0.32202852
location_278671,2025-02-04,-284.77048
location_278671,2025-02-05,0.48988438
location_278671,2025-02-06,0.33902696
location_278671,2025-02-07,0.3497906
location_278671,2025-02-08,0.41410345
location_278671,2025-02-09,0.37916493
location_278671,2025-02-10,0.4963386
location_278671,2025-02-11,0.41083118
location_278671,2025-02-12,0.3945684
location_278671,2025-02-13,0.3675398
location_278671,2025-02-14,0.3880911
location_278671,2025-02-15,-166.10367
location_278671,2025-02-16,0.4611342
location_278671,2025-02-17,0.36594304
location_278671,2025-02-18,-999.0
location_278671,2025-02-19,0.7915728
location_278671,2025-02-20,0.46659032
location_278671,2025-02-21,0.51652956
location_278671,2025-02-22,0.5179985
location_278671,2025-02-23,0.55818653
location_278671,2025-02-24,0.5791491
location_278671,2025-02-25,1.0518914
location_278671,2025-02-26,-165.882
location_278671,2025-02-27,-165.92528
location_278671,2025-02-28,-832.16705
location_278671,2025-03-01,-832.1689
location_278671,2025-03-02,0.770047
location_278671,2025-03-03,0.6820903
location_278671,2025-03-04,0.8085837
location_278671,2025-03-05,-165.79425
location_278671,2025-03-06,0.74418455
location_278671,2025-03-07,0.7781375
location_278671,2025-03-08,0.8219369
location_278671,2025-03-09,0.828793
location_278671,2025-03-10,0.8176835
location_278671,2025-03-11,0.8278132
location_278671,2025-03-12,0.8270683
location_278671,2025-03-13,0.87131816
location_278671,2025-03-14,0.79774874
location_278671,2025-03-15,0.92779964
location_278671,2025-03-16,1.2269015
location_278671,2025-03-17,1.0249168
location_278671,2025-03-18,0.97592694
location_278671,2025-03-19,0.8353436
