AOD,PS,pm10,pm25,relativehumidity,temperature,date,no2_no_ratio,nox_no2_ratio,o3_nox_ratio,co_nox_ratio,so2_no2_ratio,wind_speed,THI
-999.0,98800.99,43.87,27.42,88.94,16.29,2025-02-18,0.45478260869565224,3.198852772466539,0.03347280334728034,0.023909145248057383,4.791586998087953,0.5502443064395804,206.7360595370211
-999.0,98800.99,42.9,26.81,88.89,16.23,2025-02-18,0.43800178412132024,3.283095723014257,0.030397022332506202,0.024193548387096774,5.136456211812627,0.5502443064395804,206.7360595370211
-999.0,98800.99,42.53,26.58,88.91,16.1,2025-02-18,0.4319371727748691,3.315151515151515,0.031687995124923825,0.02437538086532602,5.131313131313131,0.5502443064395804,206.7360595370211
-999.0,98800.99,42.53,26.58,88.94,16.09,2025-02-18,0.4264705882352941,3.3448275862068972,0.029714978775015156,0.024257125530624618,5.267748478701826,0.5502443064395804,206.7360595370211
-999.0,98800.99,42.53,26.58,88.99,16.05,2025-02-18,0.4464594127806563,3.239845261121857,0.016119402985074627,0.024477611940298506,5.059961315280464,0.5502443064395804,206.7360595370211
-999.0,98800.99,42.94,26.84,89.45,16.08,2025-02-18,0.4351610095735422,3.2980000000000005,0.027289266221952695,0.02486355366889023,5.184,0.5502443064395804,206.7360595370211
-999.0,98800.99,43.1,26.94,89.49,15.96,2025-02-18,0.4342105263157895,3.303030303030303,0.03914373088685015,0.025076452599388375,5.193939393939394,0.5502443064395804,206.7360595370211
-999.0,98800.99,43.1,26.94,89.73,15.91,2025-02-18,0.41391304347826086,3.4159663865546217,0.03321033210332104,0.024600246002460028,5.315126050420169,0.5502443064395804,206.7360595370211
-999.0,98800.99,43.1,26.94,89.87,15.79,2025-02-18,0.4215851602023609,3.372,0.03558718861209964,0.024317912218268088,5.102,0.5502443064395804,206.7360595370211
-999.0,98800.99,46.07,28.79,89.99,15.67,2025-02-18,0.4142732811140122,3.4138655462184877,0.03692307692307692,0.02523076923076923,5.3424369747899165,0.5502443064395804,206.7360595370211
-999.0,98800.99,47.18,29.49,90.4,15.62,2025-02-18,0.4058721934369603,3.4638297872340424,0.02948402948402948,0.025798525798525797,5.359574468085106,0.5502443064395804,206.7360595370211
-999.0,98800.99,47.18,29.49,90.62,15.6,2025-02-18,0.4592920353982301,3.177263969171484,0.028502122498483926,0.02546998180715585,4.91907514450867,0.5502443064395804,206.7360595370211
-999.0,98800.99,47.18,29.49,90.99,15.54,2025-02-18,0.4096802074330164,3.4409282700421944,0.03310852237890864,0.02636419374616799,5.419831223628692,0.5502443064395804,206.7360595370211
-999.0,98800.99,45.47,28.42,90.87,15.41,2025-02-18,0.42179261862917394,3.3708333333333336,0.03461063040791101,0.02595797280593325,5.358333333333333,0.5502443064395804,206.7360595370211
-999.0,98800.99,44.83,28.02,90.62,15.21,2025-02-18,0.4480349344978166,3.2319688109161793,0.0307599517490953,0.024728588661037394,5.077972709551657,0.5502443064395804,206.7360595370211
0.7915728,98686.73,44.83,28.02,90.42,14.96,2025-02-19,0.4326672458731538,3.311244979919679,0.02486355366889023,0.02486355366889023,5.257028112449799,0.8153379718489768,211.29471414051358
0.7915728,98686.73,44.83,28.02,90.73,14.96,2025-02-19,0.42781222320637735,3.337474120082815,0.022952853598014893,0.025434243176178664,5.432712215320911,0.8153379718489768,211.29471414051358
0.7915728,98686.73,42.35,26.47,90.56,14.96,2025-02-19,0.4458149779735683,3.2430830039525693,0.017672151127361365,0.02437538086532602,5.128458498023716,0.8153379718489768,211.29471414051358
0.7915728,98686.73,41.42,25.89,90.76,14.81,2025-02-19,0.41840277777777785,3.3900414937759336,0.03671970624235006,0.02447980416156671,5.356846473029045,0.8153379718489768,211.29471414051358
0.7915728,98686.73,41.42,25.89,90.94,14.76,2025-02-19,0.39740259740259737,3.516339869281046,0.04708798017348203,0.024783147459727387,5.596949891067538,0.8153379718489768,211.29471414051358
0.7915728,98686.73,41.42,25.89,91.19,14.71,2025-02-19,0.4230769230769231,3.3636363636363638,0.08845208845208845,0.02457002457002457,5.1735537190082646,0.8153379718489768,211.29471414051358
0.7915728,98686.73,55.35,34.6,91.33,14.81,2025-02-19,0.45056867891513563,3.2194174757281546,0.1164053075995175,0.025331724969843185,5.007766990291262,0.8153379718489768,211.29471414051358
0.7915728,98686.73,60.58,37.86,91.61,15.12,2025-02-19,0.3827993254637437,3.612334801762114,0.10365853658536586,0.02682926829268293,5.618942731277533,0.8153379718489768,211.29471414051358
0.7915728,98686.73,60.58,37.86,91.6,15.83,2025-02-19,0.47195013357079246,3.118867924528302,0.06352087114337568,0.026618269812462188,4.89056603773585,0.8153379718489768,211.29471414051358
0.7915728,98686.73,60.58,37.86,90.09,16.96,2025-02-19,0.42118863049095606,3.374233128834356,0.06363636363636364,0.028484848484848484,5.402862985685072,0.8153379718489768,211.29471414051358
0.7915728,98686.73,60.68,37.93,85.75,18.67,2025-02-19,0.4116140051238258,3.4294605809128633,0.04597701149425287,0.030248033877797943,5.636929460580913,0.8153379718489768,211.29471414051358
0.7915728,98686.73,60.72,37.95,76.12,21.24,2025-02-19,0.4371152154793316,3.2877263581488934,0.04161566707466341,0.03304773561811506,5.450704225352113,0.8153379718489768,211.29471414051358
0.7915728,98686.73,60.72,37.95,69.94,22.62,2025-02-19,0.4173160173160173,3.396265560165975,0.047648136835675016,0.03481979230299328,5.734439834024896,0.8153379718489768,211.29471414051358
0.7915728,98686.73,60.72,37.95,64.48,24.05,2025-02-19,0.4342105263157895,3.303030303030303,0.046483180428134555,0.03608562691131498,5.626262626262626,0.8153379718489768,211.29471414051358
0.7915728,98686.73,75.24,47.03,57.29,25.44,2025-02-19,0.4411764705882352,3.266666666666667,0.03601440576230492,0.035414165666266505,5.29607843137255,0.8153379718489768,211.29471414051358
0.7915728,98686.73,80.69,50.43,51.37,26.86,2025-02-19,0.4060344827586207,3.462845010615711,0.05824647455548743,0.03617412630288167,5.558386411889597,0.8153379718489768,211.29471414051358
0.7915728,98686.73,80.69,50.43,46.87,28.32,2025-02-19,0.42037671232876717,3.378818737270876,0.0644966847498493,0.03496081977094635,5.285132382892057,0.8153379718489768,211.29471414051358
